PSC	0	23092902D	22895833	2852206	4939057	5480670	2316131	0	9.7	18857	0	0	438968
PSC	0	23092903D	22530764	2710563	5587511	5830008	2474778	0	19.7	5343	0	0	296889
PSC	0	23092904D	22503417	2814155	5486327	5835877	2471226	0	14.3	39638	0	0	321886
PSC	0	23092905D	23145817	2580932	4972930	5311651	2247321	0	9.7	3500	0	0	426419
PSC	0	23092906D	22883379	2798902	5009007	5493524	2319896	0	9.9	14302	0	0	434701
PSC	0	23092907D	23519702	2188341	5007819	5061468	2139152	0	9.6	3839	0	0	410361
PSC	0	23092909D	22976176	2817076	4954833	5467772	2309501	0	10.6	17251	0	0	377915
PSC	0	23092910D	24076637	1929991	4812768	4739228	2007214	0	11.1	3263	0	0	306800
PSC	0	23092911D	22923410	2753785	5017345	5469499	2307219	0	9.5	27988	0	0	431492
PSC	0	23092912D	22884057	2871006	5023299	5553546	2346628	0	12.5	9828	0	0	347570
PSC	0	23092913D	22787807	2776476	5255594	5645591	2392468	0	16.5	17031	0	0	305957
PSC	0	23092914D	22875475	2845183	4986719	5510005	2327658	0	9.7	16791	0	0	418718
PSC	0	23092915D	22459876	2792505	5435076	5786718	2447241	0	9.5	109148	0	0	438507
PSC	0	23092916D	22974893	2801062	4931876	5438171	2300314	0	9.6	22536	0	0	418193
PSC	0	23092917D	22888006	2814164	4955874	5461641	2313993	0	9.7	8078	0	0	468023
PSC	0	23092918D	22573451	2717800	5475237	5759901	2439533	0	12.3	41019	0	0	359364
PSC	0	23092919D	22766793	2732198	5212686	5586084	2364698	0	10.9	5204	0	0	414339
PSC	0	23092920D	22550943	2736960	5393852	5724385	2412750	0	9.5	107837	0	0	444240
PSC	0	23092921D	23254641	2687409	4783831	5255928	2220304	0	9.7	4038	0	0	400309
PSC	0	23092922D	22687344	2751175	5396279	5729878	2423880	0	15.3	6442	0	0	291081
PSC	0	23092923D	21918190	2800816	6211133	6328705	2691573	0	28.1	143987	0	0	195295
PSC	0	23092924D	22791167	2832416	5153569	5615975	2376062	0	12.1	16782	0	0	348697
PSC	0	23092925D	22804358	2554651	5477490	5643455	2394840	0	14.1	15626	0	0	289277
PSC	0	23092926D	22614363	2465433	5740230	5768578	2443454	0	13.5	5773	0	0	305841
PSC	0	23092927D	22909521	2745035	5068068	5496083	2322732	0	10.2	8352	0	0	403503
PSC	0	23092928D	23047310	2556931	5140723	5413219	2289838	0	10.6	5583	0	0	381137
PSC	0	23092929D	22408747	2675393	5760001	5927323	2515039	0	19.3	3974	0	0	281636
PSC	0	23092930D	22556249	2685133	5542446	5785673	2448198	0	13.7	37425	0	0	342008
PSC	0	23092931D	22916075	2628681	5319544	5588778	2365389	0	15.9	8008	0	0	261486
PSC	0	23092932D	22967781	2726345	5122333	5521231	2333133	0	11.3	16210	0	0	309564
PSC	0	23092933D	22928068	2938779	4883101	5500142	2327253	0	10.5	10722	0	0	375928
